SQLDATE,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,EventCode,GoldsteinScale,SOURCEURL
20260402,"Houston, Texas, United States",29.7633,-95.3633,130,-4.4,https://www.thenational.scot/news/25993219.100-new-renfrewshire-homes-despite-council-objection/
20260403,"Texas, United States",31.106,-97.6475,130,-4.4,https://timesofindia.indiatimes.com/tv/news/english/anna-duggars-advice-to-joseph-duggar-on-life-behind-bars-amid-duggar-family-crisis-what-we-know/articleshow/129996576.cms
20260403,"Fort Hood, Texas, United States",31.2548,-97.7091,139,-7.0,https://www.kxxv.com/news/local-news/in-your-neighborhood/bell-county/blaine-mcgraw-asks-for-names-addresses-of-jane-does-in-court-filing
20260403,"Houston, Texas, United States",29.7633,-95.3633,140,-6.5,https://www.cjls.com/2026/04/02/144118/
20260403,"Houston, Texas, United States",29.7633,-95.3633,141,-6.5,https://www.cjls.com/2026/04/02/144118/
20260402,"Brownwood, Texas, United States",30.1144,-93.7352,134,-5.8,https://ktxs.com/news/local/brownwood-man-arrested-after-allegedly-threatening-people-with-handgun
20260402,"Brownwood, Texas, United States",30.1144,-93.7352,134,-5.8,https://ktxs.com/news/local/brownwood-man-arrested-after-allegedly-threatening-people-with-handgun
20260403,"Camp Mystic, Texas, United States",30.0085,-99.3703,138,-7.0,https://www.kvue.com/article/news/state/texas-news/texas-flood/camp-mystic-files-license-operate-travis-county-texas-flooding/269-97b82ea6-14ec-4c23-b1ab-b6d63334daa3
20260403,"Guadalupe River, Texas, United States",28.4347,-96.8044,138,-7.0,https://www.kvue.com/article/news/state/texas-news/texas-flood/camp-mystic-files-license-operate-travis-county-texas-flooding/269-97b82ea6-14ec-4c23-b1ab-b6d63334daa3
20260402,"Dallas, Texas, United States",32.7831,-96.8067,130,-4.4,https://www.kwch.com/2026/04/02/justice-department-man-who-worked-wichita-company-attempted-carry-stolen-aviation-secrets-flight-china/
20260402,"Dallas, Texas, United States",32.7831,-96.8067,130,-4.4,https://thebeatdfw.com/4524746/hoax-school-shooting-call-sparks-chaos-in-north-dallas/
20260402,"Texas, United States",31.106,-97.6475,130,-4.4,https://thegrio.com/2026/04/02/gucci-mane-named-as-victim-in-pooh-shiesty-robbery-and-kidnapping-case-in-dallas/
20260403,"Houston, Texas, United States",29.7633,-95.3633,141,-6.5,https://www.irishdentist.ie/the-record-launch-that-brings-man-back-to-the-moon/16903/
20260402,"Houston, Texas, United States",29.7633,-95.3633,130,-4.4,https://cen.acs.org/business/Iran-war-debilitate-petrochemicals-rest/104/web/2026/04
20260402,"Houston, Texas, United States",29.7633,-95.3633,141,-6.5,https://globalnews.ca/news/11757395/first-nation-blocks-highway/
20260403,"Bell County, Texas, United States",31.0502,-97.4669,139,-7.0,https://www.kxxv.com/news/local-news/in-your-neighborhood/bell-county/blaine-mcgraw-asks-for-names-addresses-of-jane-does-in-court-filing
20260402,"Texas, United States",31.106,-97.6475,130,-4.4,https://kkyr.com/court-scam-alert-texarkana/
20260402,"Texas, United States",31.106,-97.6475,130,-4.4,https://kkyr.com/court-scam-alert-texarkana/
20260402,"Houston, Texas, United States",29.7633,-95.3633,138,-7.0,https://www.marketscreener.com/news/prompt-oil-prices-hit-record-premium-to-next-month-delivery-after-trump-vows-to-keep-attacking-iran-ce7e51dddb8df223
20260403,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.nbcdfw.com/investigations/children-held-dilley-texas-immigration-detention-center-drops/4004913/
20260403,"Texas, United States",31.106,-97.6475,130,-4.4,https://kvia.com/health/2026/04/02/health-officials-warn-texans-not-to-eat-great-value-dinosaur-shaped-chicken-nuggets/
20260402,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.breitbart.com/politics/2026/04/02/exclusive-rep-brandon-gill-the-senate-needs-serious-change-lets-start-by-electing-ken-paxton/
20260402,"Texas, United States",31.106,-97.6475,130,-4.4,https://thegrio.com/2026/04/02/gucci-mane-named-as-victim-in-pooh-shiesty-robbery-and-kidnapping-case-in-dallas/
20260402,"Texas, United States",31.106,-97.6475,130,-4.4,https://kkyr.com/court-scam-alert-texarkana/
20260402,"Texas, United States",31.106,-97.6475,130,-4.4,https://kkyr.com/court-scam-alert-texarkana/
20260418,"Houston, Texas, United States",29.7633,-95.3633,130,-4.4,https://www.abqjournal.com/news/candidates-feud-over-public-listing-of-bregmans-property-records/3024746
20260418,"Michigan, United States",43.3504,-84.5603,141,-6.5,https://www.shorelinemedia.net/white_lake_beacon/news/muskegon-county-road-commission-honored-with-statewide-impress-award/article_2ff0aeb4-2ead-4d5b-ab47-dcd1c6868272.html
20260418,"Los Angeles, California, United States",34.0522,-118.244,130,-4.4,https://nypost.com/2026/04/18/us-news/increase-in-la-homeless-encampment-fires-slows-emergency-response-times/
20260418,"Los Angeles, California, United States",34.0522,-118.244,130,-4.4,https://nypost.com/2026/04/18/us-news/increase-in-la-homeless-encampment-fires-slows-emergency-response-times/
20260418,"Los Angeles, California, United States",34.0522,-118.244,141,-6.5,https://www.oann.com/newsroom/alec-baldwin-to-face-civil-trial-in-rust-shooting-case/
20260418,"Hogg Memorial Auditorium, Texas, United States",30.2869,-97.7406,141,-6.5,https://www.el-balad.com/16916312
20260418,"Grand River, Michigan, United States",43.0583,-86.2509,141,-6.5,https://rivergrandrapids.com/ixp/43/p/grand-river-flood-history/
20260418,"Michigan, United States",43.3504,-84.5603,134,-5.8,https://www.shorelinemedia.net/white_lake_beacon/news/flooding-impacts-region-river-levels-rise-as-more-storms-possible/article_42c48d9b-01ff-4886-b658-eff557df8b7f.html
20260418,"Michigan, United States",43.3504,-84.5603,130,-4.4,https://www.cleveland19.com/2026/04/17/man-arrested-michigan-after-woman-found-dead-eagle-trace-home/
